mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;gastototal;factoregatur
022019;2;20180200016946;4;2;01;98;39.802402072;719.38111647
032019;2;20180200017400;4;1;05;98;94.871633381;68.05885364
022019;2;20180200017400;4;1;05;98;92.57401107;160.31711879
012019;2;20180200017400;4;1;05;98;91.112401468;89.629876302
022019;2;20180200017409;4;1;05;98;92.57401107;160.31711879
032019;2;20180200017409;4;1;05;98;94.871633381;68.05885364
012019;2;20180200017409;4;1;05;98;91.112401468;89.629876302
032019;2;20180200017428;3;1;05;09;86.438256353;360.79921821
012019;2;20180200017428;3;1;05;09;85.137445697;603.41634444
022019;2;20180200017428;3;1;05;09;85.717116458;1470.3870295
022019;2;20180200018137;3;1;05;01;85.717116458;281.9417066
032019;2;20180200018137;3;1;05;01;86.438256353;94.656975928
012019;2;20180200018137;3;1;05;01;85.137445697;110.14252388
012019;2;20180200018484;4;4;15;98;52.616805534;20.392590436
022019;2;20180200018484;4;4;15;98;53.598934932;15.097370695
032019;2;20180200018484;4;4;15;98;53.647030393;18.635305721
032019;2;20180200019823;3;1;05;01;86.438256353;94.656975928
012019;2;20180200019823;3;1;05;01;85.137445697;110.14252388
022019;2;20180200019823;3;1;05;01;85.717116458;281.9417066
032019;2;20180200020145;4;4;03;98;0;49.210418787
022019;2;20180200020145;4;4;03;98;53.598934932;36.931456268
022019;2;20180200020149;4;4;06;98;53.598934932;27.454212313
032019;2;20180200020149;4;4;06;98;53.647030393;38.975036765
032019;2;20180200020153;4;4;03;98;53.647030393;49.210418787
022019;2;20180200020153;4;4;03;98;53.598934932;36.931456268
022019;2;20180200022912;4;4;03;98;53.598934932;73.862912536
032019;2;20180200022912;4;4;03;98;53.647030393;98.420837573
022019;2;20180200022966;4;4;03;98;53.598934932;36.931456268
032019;2;20180200022966;4;4;03;98;53.647030393;49.210418787
022019;2;20180200023101;4;2;01;98;39.802402072;719.38111647
022019;2;20180200023102;4;2;01;98;39.802402072;719.38111647
022019;2;20180200023158;4;2;01;98;39.802402072;719.38111647
022019;2;20180200023159;4;2;01;98;39.802402072;719.38111647
022019;2;20180200023851;4;1;12;98;92.57401107;406.31446008
012019;2;20180200023851;4;1;12;98;91.112401468;470.40186948
032019;2;20180200024774;4;4;08;98;0;77.950073531
022019;2;20180200024774;4;4;08;98;53.598934932;54.908424627
022019;2;20180200024781;4;4;03;98;53.598934932;36.931456268
032019;2;20180200024781;4;4;03;98;0;49.210418787
032019;2;20180200024787;4;4;01;98;53.647030393;38.975036765
022019;2;20180200024787;4;4;01;98;53.598934932;27.454212313
022019;2;20180300004843;4;1;07;98;92.57401107;706.34392439
032019;2;20180300004843;4;1;07;98;94.871633381;825.53194074
012019;2;20180300004843;4;1;07;98;91.112401468;1040.4236978
012019;2;20180300007590;4;2;05;98;41.773998326;236.07294832
012019;2;20180300007678;3;2;05;09;266.51455969;504.49445937
012019;2;20180300007689;4;2;05;98;41.773998326;236.07294832
032019;2;20180300009664;4;3;05;98;251.14246776;558.3823356
022019;2;20180300011457;4;1;07;98;92.57401107;706.34392439
012019;2;20180300011457;4;1;07;98;91.112401468;1040.4236978
032019;2;20180300011457;4;1;07;98;94.871633381;825.53194074
022019;2;20180300013727;4;2;01;98;39.802402072;78.846911135
032019;2;20180300013727;4;2;01;98;39.410314604;116.64107048
012019;2;20180300013727;4;2;01;98;41.773998326;136.85771413
012019;2;20180300015003;4;1;15;98;91.112401468;470.40186948
022019;2;20180300017175;4;1;01;98;92.57401107;144.34696973
032019;2;20180300017175;4;1;01;98;94.871633381;61.444607295
012019;2;20180300017559;3;1;02;16;85.137445697;982.53272032
022019;2;20180300018937;4;2;01;98;39.802402072;157.69382227
012019;2;20180300018937;4;2;01;98;41.773998326;273.71542826
032019;2;20180300018937;4;2;01;98;39.410314604;233.28214096
012019;2;20180300018976;4;2;01;98;41.773998326;273.71542826
022019;2;20180300018976;4;2;01;98;39.802402072;157.69382227
032019;2;20180300018976;4;2;01;98;39.410314604;233.28214096
032019;2;20180300020665;3;1;05;01;86.438256353;51.238845685
022019;2;20180300020665;3;1;05;01;85.717116458;117.77733064
012019;2;20180300022630;3;3;08;12;251.56811683;293.34763166
012019;2;20180300022631;3;3;08;12;251.56811683;293.34763166
012019;2;20180300022632;3;3;08;12;251.56811683;293.34763166
012019;2;20180300022633;3;3;08;12;251.56811683;293.34763166
012019;2;20180300022634;3;3;08;12;251.56811683;293.34763166
